GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201612310044,2016-12-31,"Mexico","Guachochi","Unknown",0,0,0,Journalists & Media,North America,,,,Assassination,Firearms
201612150044,2016-12-15,"United States","Dallas","Anti-Semitic extremists",0,,,,,0,1,Journalists & Media,,,North America,Assassination,,,Other,,,
201612110014,2016-12-10,"Mexico","Chihuahua","Unknown",0,,,,,1,0,Journalists & Media,,,North America,Assassination,,,Firearms,,,
201612080038,2016-12-07,"United States","Redlands","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201612040047,2016-12-04,"United States","Washington","Unknown",0,,,,,0,0,Business,,,North America,Armed Assault,,,Firearms,Firearms,,
201611280001,2016-11-28,"United States","Columbus","Jihadi-inspired extremists",0,,,,,1,11,Private Citizens & Property,,,North America,Armed Assault,,,Melee,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs),,
201611250026,2016-11-25,"United States","Tacoma","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201611230062,2016-11-23,"United States","Albuquerque","Unknown",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201610160022,2016-10-16,"United States","Hillsborough","Unknown",0,,,,,0,0,Private Citizens & Property,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201610150013,2016-10-15,"United States","Reasnor","Unknown",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201610130052,2016-10-13,"United States","Indianapolis","Anti-White extremists",0,,,,,0,0,Police,,,North America,Armed Assault,,,Firearms,,,
201610090043,2016-10-09,"United States","Century","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201610040058,2016-10-04,"United States","Indianapolis","Anti-White extremists",0,,,,,0,0,Police,,,North America,Armed Assault,,,Firearms,,,
201610030060,2016-10-03,"United States","Lincoln","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201610030040,2016-10-03,"United States","Lincoln","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201609240025,2016-09-24,"United States","Kansas City","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201609180039,2016-09-18,"Canada","Montreal","Unknown",0,,,,,0,0,Journalists & Media,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201609180001,2016-09-18,"United States","Elizabeth","Jihadi-inspired extremists",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201609170004,2016-09-17,"United States","St. Cloud","Jihadi-inspired extremists",0,,,,,1,10,Business,,,North America,Armed Assault,,,Melee,,,
201609170003,2016-09-17,"United States","New York City","Jihadi-inspired extremists",0,,,,,0,0,Private Citizens & Property,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201609170002,2016-09-17,"United States","New York City","Jihadi-inspired extremists",0,,,,,0,29,Private Citizens & Property,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201609170001,2016-09-17,"United States","Seaside Park","Jihadi-inspired extremists",0,,,,,0,0,Private Citizens & Property,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201609160002,2016-09-16,"United States","Philadelphia","Anti-Police extremists",0,,,,,2,5,Police,Police,Private Citizens & Property,North America,Armed Assault,,,Firearms,,,
201609150025,2016-09-14,"Canada","Hamilton","Anti-Muslim extremists",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201609120001,2016-09-12,"United States","Fort Pierce","Anti-Muslim extremists",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201609020055,2016-09-02,"United States","Las Vegas","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201608230025,2016-08-23,"United States","Salem","Unknown",0,,,,,0,0,Journalists & Media,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201608200042,2016-08-20,"United States","Roanoke","Unknown",0,,,,,0,3,Private Citizens & Property,,,North America,Armed Assault,,,Melee,,,
201608130021,2016-08-13,"United States","New York City","Unknown",0,,,,,2,0,Religious Figures/Institutions,Private Citizens & Property,,North America,Armed Assault,,,Firearms,,,
201608100099,2016-08-10,"United States","Endicott","Unknown",0,,,,,0,0,Private Citizens & Property,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201608100055,2016-08-10,"Canada","Strathroy","Jihadi-inspired extremists",0,,,,,1,1,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201608090044,2016-08-09,"United States","New City","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201608090043,2016-08-09,"United States","New City","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201608050054,2016-08-05,"United States","Tampa","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201608040052,2016-08-04,"United States","Tampa","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201608010028,2016-08-01,"United States","Reasnor","Unknown",0,,,,,0,0,Utilities,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201608010027,2016-08-01,"United States","Newton","Unknown",0,,,,,0,0,Utilities,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201607310050,2016-07-31,"United States","Oskaloosa","Unknown",0,,,,,0,0,Utilities,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201607270058,2016-07-27,"United States","Tampa","Unknown",0,,,,,0,0,Educational Institution,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201607250049,2016-07-25,"United States","Las Vegas","Unknown",0,,,,,0,0,Other,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201607250048,2016-07-25,"United States","Las Vegas","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201607180070,2016-07-17,"United States","Tampa","Unknown",0,,,,,0,0,Educational Institution,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201607170022,2016-07-17,"United States","Daytona Beach","Anti-Police extremists",0,,,,,0,0,Police,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201607170005,2016-07-17,"United States","Baton Rouge","Anti-Police extremists",0,,,,,4,3,Police,,,North America,Armed Assault,,,Firearms,Firearms,,
201607090022,2016-07-09,"United States","San Antonio","Unknown",0,,,,,0,0,Police,,,North America,Armed Assault,,,Firearms,,,
201607070018,2016-07-07,"United States","College Station","Anti-Muslim extremists",1,,,,,0,0,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,,,
201607070016,2016-07-07,"United States","Bristol","Anti-Police extremists",0,,,,,1,4,Police,Private Citizens & Property,,North America,Armed Assault,,,Firearms,Firearms,,
201607070001,2016-07-07,"United States","Dallas","Anti-White extremists",0,,,,,6,9,Police,,,North America,Armed Assault,,,Firearms,Firearms,,
201607050044,2016-07-05,"United States","St. Louis","Black Hebrew Israelites",1,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201607040048,2016-07-04,"United States","St. Louis","Black Hebrew Israelites",1,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201606180037,2016-06-18,"United States","Las Vegas","Anti-Trump extremists",0,,,,,0,0,Private Citizens & Property,,,North America,Assassination,,,Firearms,,,
201606120001,2016-06-12,"United States","Orlando","Jihadi-inspired extremists",0,,,,,50,53,Business,Private Citizens & Property,,North America,Hostage Taking (Barricade Incident),Armed Assault,,Firearms,Firearms,,
201606090034,2016-06-09,"United States","New York City","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201606050082,2016-06-05,"United States","New York City","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201606050067,2016-06-05,"Mexico","Emiliano Zapata","Unknown",0,,,,,1,0,Unknown,,,North America,Armed Assault,,,Melee,,,
201605260052,2016-05-26,"United States","Vancouver","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201605250061,2016-05-25,"United States","Modesto","Unknown",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201605250055,2016-05-25,"United States","Vancouver","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201604260043,2016-04-26,"United States","Haverhill","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201604250050,2016-04-25,"Mexico","Taxco","Unknown",0,,,,,1,0,Journalists & Media,,,North America,Assassination,,,Firearms,,,
201604210055,2016-04-21,"United States","Bonners Ferry","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201603300069,2016-03-30,"United States","Tyngsborough","Court Reform extremists",0,,,,,0,0,Utilities,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201603140054,2016-03-14,"Canada","Toronto","Unknown",0,,,,,0,2,Military,,,North America,Armed Assault,,,Melee,,,
201602280069,2016-02-28,"United States","Lake Los Angeles","White extremists",1,,,,,0,3,Private Citizens & Property,,,North America,Armed Assault,,,Melee,Melee,,
201602180063,2016-02-18,"United States","Nashville","White extremists",0,,,,,0,1,Private Citizens & Property,,,North America,Armed Assault,,,Melee,,,
